,country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
93,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,348000,314000,275000,144000,,,40800,,,97200,79800,98000,,117000,40900,41000,,84800,82600,134000,180000,186000,190000,2230k
94,Kiribati,,,,,,,,,,132,,27,,65,59,125,283,642,,193,,35,8,157,134,245,247,132,,,,,,,,,,,,,,,,,192,385,280,645,,,554
95,St Kitts and Nevis,,,,,,,,,,,,,,,47,1010,830,,86,73,,,,,,,,,,,,,297,115,137,22,,133,186,,132,,17,13,4,,54,,,,
96,South Korea,,224000,134000,173000,192000,173000,123000,171000,153000,66800,1780,2800,9930,12600,43900,70500,83100,25000,5420,5480,10400,12000,19100,28500,41600,59100,66800,53900,59200,52200,30900,73600,86500,53600,56200,9830,8170,5170,752,11000,6960,9810,59900,128000,113000,39600,74300,66200,25200,271,
97,Kuwait,,32600,32600,31300,31900,32500,33200,29300,19400,22900,26300,25900,25200,21600,19700,17500,18500,28700,33800,,,,105000,,51600,,14500,14700,6850,7080,12200,13400,9820,11100,8650,14100,,2760,2890,,2070,1140,1320,2660,3110,4310,7290,,,,
98,Lao,,,,,,,,,,,,,,,,,,,191000,,203000,,255000,234000,218000,,219000,208000,190000,190000,188000,195000,188000,168000,162000,150000,135000,113000,93300,75000,40000,41600,41400,27500,25400,38100,45200,57300,65400,64900,634k
99,Lebanon,,,,,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,,,,,,,,,317000,,,,,,47500,,,159000,,,
101,Libya,,74300,49700,34700,27500,27000,21500,20100,34800,,17800,19200,,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,St Lucia,,,,,,,,,,,,1920,1420,230,308,0,0,,,,630,,,,,,,,,,2050,1930,284,297,1130,1430,959,1080,,,,,,,,235,219,228,222,260,497
103,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,100,23,23,16,30,15,24,29,,44,1,6,3,3,2,
104,Sri Lanka,,,,,,,,380000,,,,,,,,,34000,,,,,,,,,,,,,,,1970,1260,6190,51000,45400,54500,61500,77000,116000,89100,87500,83500,61300,45300,16400,16400,12400,9300,,
105,Lesotho,82100,91600,92400,94100,79800,,83500,84600,104000,105000,108000,111000,104000,109000,110000,106000,110000,109000,110000,116000,123000,121000,123000,133000,131000,136000,136000,,163000,173000,95100,86700,75100,63600,60800,52900,44100,48500,42500,40200,33600,33100,32600,29500,28600,23600,16400,7410,,,
106,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8350,65,242,639,480,197,254,293,312,276,163,148,48,99,136,148,72,87,108,247,201,116,
107,Luxembourg,,,2780,3150,2450,2730,2810,2960,3030,,,5830,4150,4340,4580,,4490,5290,3750,,,,,,,,,,,601,729,816,756,1410,1200,589,406,376,653,,1550,1710,1270,1310,1020,384,87,208,369,232,
108,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,,,,,,,,,10,972,958,852,1640,2120,2260,2410,2110,1850,1380,1420,
"109,""Macao, China"",,,,,,,,,,,,,,,,,,,,,2820,,5310,,,,,,,4310,4760,5830,5500,5330,4980,4740,4690,4000,3910,4120,4020,3600,3190,2790,1890,1140,577,655,902,373,1210"
110,Morocco,,153M,154M,156M,,153M,147M,139M,131M,126M,119M,113M,113M,108M,102M,108M,115M,123M,131M,14M,141M,172M,174M,168M,159M,148M,137M,129M,131M,886000,766000,672000,574000,511000,511000,472000,412000,349000,329000,364000,242000,205000,228000,179000,204000,,162000,90000,7800,16100,176k
111,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,595,818,878,880,2580,1040
112,Madagascar,,,369000,,,,,,,,,,,,,,,,,547000,582000,,,,,839000,820000,,,737000,723000,721000,736000,529000,,,,,,,,,,,,,,,66800,80500,
113,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,1370,1220,313,425,,155,357,110,166,177,,,,,,,195,1190,1930,1670,1010,
114,Mexico,,172M,,,,,,125M,,,,,,,,32700,0,0,116000,434000,210000,258000,227000,285000,393000,462000,529000,530000,442000,13700,2420,15000,26500,31600,36500,22000,11700,1970,9200,2310,18800,35500,44700,54700,67600,77600,88100,97700,93600,106000,
115,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,531,,,,2380,2250,,,2350,2680
116,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300,11400,3010,4840,5780,7300,6520,6600,8660,7930,11200,9220,5080,,10400,11400,9920,6140,,1060,781,,
117,Mali,,722000,728000,740000,735000,,,780000,,,,,,,,,,,,,,,,,,,,,,957000,,,897000,926000,955000,883000,882000,864000,,763000,767000,771000,861000,102M,103M,116M,116M,103M,134M,,
118,Malta,,6940,7220,7550,6920,5610,3680,2020,967,694,1410,1990,2070,2640,2310,1220,1380,1790,1870,1680,1460,1410,1430,1320,1720,1390,862,554,,,,,,,,,,,,,,168,25,77,175,166,295,57,,,
119,Myanmar,,148M,,127M,169M,,,,16M,,,,,,,,,,,,,,,,,,,,,,509000,451000,555000,468000,545000,563000,579000,566000,525000,575000,574000,,,,197000,,,112000,91900,,
120,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,1240,1270,,,589,1030,,,1680,2140,1100,784,2,26
121,Mongolia,,,,,,,,,,,4810,,,9280,,,,8590,,,,,,,,34400,28900,37700,28900,24200,18300,14300,16200,31800,15500,19400,6210,1950,604,687,1260,1340,2050,8850,9520,6400,1760,1670,2150,1950,
122,Mozambique,,,,866000,,,,,,767000,,834000,866000,669000,,658000,687000,924000,101M,103M,102M,106M,112M,117M,118M,115M,,,16M,152M,144M,133M,153M,,113M,967000,843000,658000,539000,512000,470000,598000,605000,561000,535000,461000,514000,577000,354000,143000,529k
123,Mauritania,,,,,,,,,,,,,,,,201000,,,,,,,,,200000,181000,172000,,166000,170000,171000,158000,161000,149000,119000,128000,118000,116000,137000,144000,145000,146000,156000,145000,136000,,165000,138000,129000,156000,
124,Mauritius,,,34900,33400,31400,28700,27700,22600,25700,29600,28800,23900,15500,11100,6790,118,2020,441,679,832,3470,9000,,8640,7390,6230,3550,2510,143,360,292,598,824,1150,2150,775,715,734,454,1090,1210,1340,4730,2310,1230,1060,1430,1010,1160,1210,
125,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36700,,,,,32900,33800,47400,114000,51700,43600,,,,,,,,,,,
126,Malaysia,250000,262000,245000,,,,,,,,,,,,,,,,,,,,,,77500,,,,127000,91800,48600,67600,106000,91200,19800,13000,150000,161000,162000,135000,122000,94100,46000,10400,3280,14500,5300,10400,7690,41300,
127,Namibia,,,,,,,,,,,,,,,,,,,,60500,61300,,55800,,52500,50900,53700,50500,44000,42200,36300,30100,22800,22000,30100,29600,39500,29800,30700,28200,25000,,12700,4100,,,,5450,6000,,
